"Nommunicipio","Siniestrada"
"Santa Lucía Monteverde",868
"San Juan Bautista Tuxtepec",868.9
"Reyes Etla",869
"San Francisco Lachigoló",869
"Santa María Totolapilla",869
"Santiago Ayuquililla",870.5
"Santiago del Río",872
"San Juan Guelavía",880
"San Andrés Huayápam",883
"San Francisco Chapulapa",883
"San Agustín Chayuco",885
"San Mateo Etlatongo",885
"El Espinal",887.5
"Santa María Sola",890
"San Miguel Ahuehuetitlán",899
"San José Ayuquila",900.5
"San Felipe Jalapa de Díaz",907
"Cosoltepec",910
"San Pablo Tijaltepec",911
"San Antonio Acutla",912.2
"Santa María Quiegolani",922
"San Sebastián Ixcapa",927.5
"San Martín Lachilá",933
"San Antonino El Alto",950
"San Juan del Estado",953
"Asunción Ocotlán",957
"San José Lachiguiri",963.25
"San Simón Zahuatlán",963.5
"Santa María del Tule",964
"Santo Domingo Armenta",979
"San Mateo Yucutindoo",989
"Santa Catarina Quioquitani",990
"San Pedro Ixtlahuaca",994
"La Trinidad Vista Hermosa",1012.75
"San Miguel Tilquiápam",1016
"San Mateo Tlapiltepec",1017
"Guadalupe de Ramírez",1047.5
"Santa Catalina Quierí",1050
"Villa de Chilapa de Díaz",1052
"San Vicente Nuñú",1052.5
"San Sebastián Abasolo",1068
"Santiago Astata",1076
"San Lorenzo Cacaotepec",1093.25
"San Andrés Paxtlán",1102
"Santo Tomás Ocotepec",1102
"Santa Catarina Cuixtla",1109
"Santa Ana Tavela",1117
"Ixpantepec Nieves",1123
"Concepción Pápalo",1131
"San Francisco Chindúa",1132.61
"San Vicente Lachixío",1140
"San Pedro Pochutla",1150.77
"Tlalixtac de Cabrera",1158
"Pinotepa de Don Luis",1167
"Yogana",1169.25
"San Agustín Amatengo",1181
"San Pedro Mártir",1185
"San Marcos Arteaga",1188.25
"Santo Tomás Tamazulapan",1215
"Asunción Tlacolulita",1216
"San Antonino Castillo Velasco",1217
"San Juan Lachigalla",1221
"Santa Lucía Miahuatlán",1221.75
"San Jorge Nuchita",1265.75
"San Pablo Cuatro Venados",1313.5
"Santa María Mixtequilla",1314.5
"San Pedro Jicayán",1318
"Santiago Yolomécatl",1339
"Santa María Colotepec",1343
"Santiago Nacaltepec",1344
"San Pedro Mártir Quiechapa",1350
"San Dionisio Ocotlán",1351
"Calihualá",1357
"San Juan Bautista Cuicatlán",1357
"San Pedro Taviche",1357
"San Pedro Huilotepec",1364
"San Pedro Teozacoalco",1368
"Santa Cruz Zenzontepec",1373
"San Sebastián Teitipac",1376
"San Martín Tilcajete",1382
"Santa Cruz Papalutla",1432
"San Juan Teitipac",1436.5
"Santa María Nduayaco",1441
"San Andrés Teotilálpam",1447
"San Juan Ñumí",1473
"San Juan Yucuita",1488.5
"San Pedro Nopala",1492
"Santiago Yosondúa",1495.6
"San Jerónimo Taviche",1510
"Santa María Huatulco",1514.97
"Santo Domingo Chihuitán",1523
"El Barrio de la Soledad",1536.5
"Santo Domingo Albarradas",1555.5
"San Agustín Atenango",1564.5
"San Juan Chilateca",1566
"Salina Cruz",1567.5
"Magdalena Ocotlán",1576
"San Jerónimo Tlacochahuaya",1576.5
"San Juan Colorado",1580
"Santiago Laollaga",1580
"San Martín Zacatepec",1585.5
"San Francisco Logueche",1611.25
"Santa María Chachoápam",1623.85
"Putla Villa de Guerrero",1634
"Santos Reyes Nopala",1635.64
"San Esteban Atatlahuca",1646.5
"Santa María Jacatepec",1655
"San Pedro Topiltepec",1669
"Santa Catarina Quiané",1669
"Sitio de Xitlapehua",1669.5
"Santiago Yaveo",1680.5
"Santiago Tenango",1682
"Teotitlán del Valle",1722
"San Bartolo Coyotepec",1730
"San Pedro Apóstol",1743
"Santa María Nativitas",1750
"Santa Ana",1751.5
"San Mateo Sindihui",1756
"Santa Ana del Valle",1762
"San Sebastián Coatlán",1778
"Santa Catarina Juquila",1779.53
"Heroica Ciudad de Tlaxiaco",1780.5
"Mazatlán Villa de Flores",1798.75
"San Lucas Ojitlán",1812
"Santiago Ixtayutla",1833
"San Ildefonso Amatlán",1847
"San Francisco Teopan",1867
"Santiago Huajolotitlán",1880.5
"San Francisco Jaltepetongo",1949.87
"Santiago Huauclilla",1976.82
"San Nicolás",1977
"San Francisco Tlapancingo",1980.62
"San Bartolomé Quialana",1981
"San Pablo Huitzo",1991
"Santiago Tlazoyaltepec",1995
"Santa Lucía Ocotlán",2007
"San Pedro Y San Pablo Tequixtepec",2009.25
"San Lucas Quiaviní",2017
"Santiago Tillo",2018.62
"Santiago Apóstol",2019
"San Andrés Nuxiño",2020
"San José Tenango",2020
"Ciénega de Zimatlán",2123
"Santa Cruz Tacache de Mina",2138.75
"San Andrés Zautla",2157
"Santa María Jalapa del Marqués",2158
"San Juan Sayultepec",2179.73
"Villa de Tututepec de Melchor Ocampo",2180.5
"Magdalena Zahuatlán",2184
"San Martín Peras",2189
"Reforma de Pineda",2200.5
"Coatecas Altas",2205
"San Miguel Coatlán",2217
"San Pedro Totolápam",2226
"San Simón Almolongas",2270.75
"San Cristóbal Suchixtlahuaca",2275.75
"Santo Domingo Yanhuitlán",2287
"Santa Cruz Mixtepec",2298
"Santa María Tonameca",2327
"Ayotzintepec",2332.75
"Santa Ana Zegache",2353.5
"San Lucas Zoquiápam",2365
"San Juan Mixtepec",2387.5
"Villa Díaz Ordaz",2391
"Chahuites",2403.4
"Tlacotepec Plumas",2415.35
"San Miguel Mixtepec",2420.5
"Soledad Etla",2436.5
"Huautla de Jiménez",2458
"Santa Cruz Xitla",2483
"Magdalena Teitipac",2489.5
"San Juan Cotzocón",2516.35
"San Juan Bautista Valle Nacional",2531
"San Miguel Huautla",2534.5
"San Bernardo Mixtepec",2535
"Yutanduchi de Guerrero",2535
"Santiago Ihuitlán Plumas",2543.86
"San Mateo del Mar",2546
"San Pedro Coxcaltepec Cántaros",2568
"San Vicente Coatlán",2603
"San Andrés Dinicuiti",2640.95
"Santa Ana Tlapacoyan",2645
"San Pablo Coatlán",2667.25
"San Andrés Lagunas",2686.5
"Villa Sola de Vega",2727.75
"San Felipe Tejalápam",2742.5
"Santa María Huazolotitlán",2743.5
"San Miguel Chicahua",2749.5
"San Juan del Río",2755
"Santa Gertrudis",2758
"San José del Peñasco",2793
"Santa Inés del Monte",2831.5
"Santo Tomás Mazaltepec",2851
"Yaxe",2871
"San Sebastián Nicananduta",2873.5
"San Pablo Huixtepec",2895
"Mariscala de Juárez",2905
"Teotongo",2910
"Santiago Lachiguiri",2925
"Trinidad Zaachila",2937
"Concepción Buenavista",2944
"Coicoyán de Las Flores",2963.7
"Monjas",3082.25
"San Jerónimo Coatlán",3087.72
"Unión Hidalgo",3116
"Santa María Ecatepec",3119
"Santiago Apoala",3119.5
"Zapotitlán Lagunas",3129.5
"Santiago Suchilquitongo",3172.5
"Santa María Chilchotla",3199
"San Andrés Sinaxtla",3250.15
"Santa María Zoquitlán",3252.25
"San Pedro Huamelula",3287
"San Miguel Peras",3290.5
"La Compañía",3367
"San Juan Teposcolula",3476.5
"La Pe",3544
"Santiago Matatlán",3547
"San Blas Atempa",3601
"San Antonio Huitepec",3636
"San Pablo Villa de Mitla",3686.25
"Santa Inés de Zaragoza",3699.5
"Magdalena Apasco",3709
"San Baltazar Chichicápam",3727.5
"San Sebastián Tecomaxtlahuaca",3752.9
"Villa de Tamazulápam del Progreso",3760.75
"Santa María Xadani",3767
"Asunción Ixtaltepec",3778.5
"Santiago Juxtlahuaca",3822.2
"San Bartolo Soyaltepec",3851.5
"San Lorenzo Albarradas",3969.75
"Santo Domingo Nuxaá",4030.5
"Santiago Jamiltepec",4038
"Santiago Tilantongo",4090
"Magdalena Tequisistlán",4118.5
"Santo Domingo Tonalá",4145
"San Francisco Ixhuatán",4172.1
"Santa María Apazco",4224.5
"Silacayoápam",4469.5
"San Miguel Tequixtepec",4503.25
"San José del Progreso",4606.5
"Santo Domingo Zanatepec",4624.5
"Zimatlán de Álvarez",4658.5
"San Dionisio del Mar",4686
"Santiago Tamazola",4810
"Santo Tomás Jalieza",4945.5
"Guevea de Humboldt",4957
"San Francisco Telixtlahuaca",5015
"Santa María Guienagati",5100
"Cuilápam de Guerrero",5102
"Santiago Chazumba",5385.75
"San Pedro Y San Pablo Teposcolula",5451.6
"San Cristóbal Amatlán",5803
"San Jerónimo Sosola",5859
"San Juan Tamazola",5870.3
"Ayoquezco de Aldama",5959
"Heroica Ciudad de Huajuapan de León",6010.2
"San Pedro Comitancillo",6092
"San Juan Bautista Coixtlahuaca",6281.5
"San Luis Amatlán",6344
"San Pedro Tapanatepec",6439.5
"Santa María Peñoles",6506
"Villa de Zaachila",6669.5
"Tepelmeme Villa de Morelos",6882
"Heroica Ciudad de Ejutla de Crespo",6891.25
"San Miguel Amatitlán",6932
"Santiago Pinotepa Nacional",7034
"San Dionisio Ocotepec",7178
"San Francisco del Mar",7180.5
"Nejapa de Madero",7418
"Ciudad Ixtepec",7486
"San Miguel Chimalapa",7488.5
"Tlacolula de Matamoros",7559
"San Pedro Quiatoni",7561
"Villa Tejúpam de La Unión",7649.25
"San Carlos Yautepec",8492
"Ocotlán de Morelos",9169.25
"Santo Domingo Ingenio",9403
"San Antonino Monte Verde",9687.5
"Asunción Nochixtlán",10270.15
"Santo Domingo Tehuantepec",10397
"Magdalena Jaltepec",11979.5
"Heroica Ciudad de Juchitán de Zaragoza",12930.5
"Santiago Niltepec",14652
"H. V. Tezoatlán de Segura y Luna, C. de la I.de O.",19067.25
"Miahuatlán de Porfirio Díaz",26099
